Date,Supplier,Product,Quantity,Total Cost
2026-07-22,Vendor 10,Premium Widget,51,6120
2026-07-23,Vendor 3,Gadget Pro,88,15400
2026-07-23,Supplier Alpha,Low Stock Item,75,9750
2026-07-23,Supplier Alpha,Budget Widget,150,2700
2026-07-23,Supplier Alpha,Budget Widget,34,612
2026-07-23,Supplier Beta,Standard Widget,42,2100
2026-07-23,Vendor 12,Budget Widget,182,3276
2026-07-24,Supplier Alpha,Gadget Pro,24,4200
2026-07-24,Supplier Beta,Declining Product,106,6890
2026-07-24,Supplier Alpha,Gadget Pro,74,12950
2026-07-24,Supplier Alpha,Gadget Pro,161,28175
2026-07-25,Vendor 8,Premium Widget,190,22800
2026-07-25,Vendor 5,Budget Widget,85,1530
2026-07-25,Supplier Beta,Premium Widget,46,5520
2026-07-26,Supplier Alpha,Standard Widget,149,7450
2026-07-26,Supplier Beta,Gadget Lite,47,2585
2026-07-26,Supplier Beta,Standard Widget,177,8850
2026-07-26,Supplier Beta,Gadget Pro,91,15925
2026-07-26,Vendor 8,Premium Widget,36,4320
2026-07-26,Supplier Beta,Standard Widget,78,3900
2026-07-26,Vendor 8,Gadget Pro,29,5075
2026-07-27,Supplier Beta,Standard Widget,122,6100
2026-07-27,Supplier Beta,Gadget Lite,164,9020
2026-07-28,Supplier Beta,Low Stock Item,79,10270
2026-07-28,Supplier Alpha,Low Stock Item,59,7670
2026-07-28,Vendor 3,Gadget Pro,185,32375
2026-07-28,Supplier Beta,Declining Product,173,11245
2026-07-28,Supplier Alpha,Declining Product,197,12805
2026-07-29,Supplier Beta,Low Stock Item,119,15470
2026-07-29,Supplier Beta,Declining Product,123,7995
2026-07-30,Vendor 2,Gadget Lite,162,8910
2026-07-30,Supplier Alpha,Gadget Lite,42,2310
2026-07-30,Vendor 8,Budget Widget,148,2664
2026-07-30,Supplier Alpha,Budget Widget,163,2934
2026-07-30,Vendor 1,Low Stock Item,146,18980
2026-07-30,Supplier Alpha,Gadget Pro,116,20300
2026-07-30,Supplier Beta,Low Stock Item,54,7020
2026-07-30,Supplier Beta,Low Stock Item,44,5720
2026-07-31,Supplier Alpha,Gadget Pro,141,24675
2026-07-31,Supplier Beta,Low Stock Item,130,16900
2026-07-31,Supplier Beta,Gadget Pro,90,15750
2026-07-31,Vendor 7,Budget Widget,190,3420
2026-07-31,Supplier Alpha,Premium Widget,126,15120
2026-07-31,Vendor 13,Low Stock Item,166,21580
2026-08-01,Supplier Beta,Low Stock Item,81,10530
2026-08-01,Supplier Alpha,Gadget Lite,109,5995
2026-08-01,Supplier Beta,Budget Widget,123,2214
2026-08-01,Supplier Alpha,Budget Widget,94,1692
2026-08-01,Supplier Alpha,Low Stock Item,152,19760
2026-08-01,Supplier Alpha,Budget Widget,162,2916
2026-08-01,Vendor 4,Premium Widget,175,21000
2026-08-02,Vendor 3,Declining Product,61,3965
2026-08-02,Vendor 14,Gadget Lite,133,7315
2026-08-02,Supplier Alpha,Budget Widget,32,576
2026-08-02,Supplier Alpha,Standard Widget,148,7400
2026-08-02,Supplier Alpha,Declining Product,189,12285
2026-08-02,Supplier Beta,Declining Product,190,12350
2026-08-02,Supplier Alpha,Standard Widget,92,4600
2026-08-02,Supplier Alpha,Declining Product,76,4940
2026-08-03,Supplier Beta,Budget Widget,136,2448
2026-08-03,Vendor 5,Premium Widget,141,16920
2026-08-03,Supplier Alpha,Low Stock Item,89,11570
2026-08-03,Supplier Alpha,Premium Widget,35,4200
2026-08-03,Supplier Alpha,Gadget Lite,43,2365
2026-08-04,Supplier Alpha,Gadget Pro,50,8750
2026-08-04,Supplier Alpha,Budget Widget,22,396
2026-08-04,Supplier Alpha,Gadget Lite,184,10120
2026-08-05,Supplier Beta,Gadget Pro,182,31850
2026-08-05,Supplier Alpha,Low Stock Item,58,7540
2026-08-05,Supplier Beta,Standard Widget,88,4400
2026-08-05,Supplier Beta,Gadget Pro,127,22225
2026-08-05,Vendor 6,Declining Product,39,2535
2026-08-05,Supplier Beta,Declining Product,163,10595
2026-08-06,Vendor 6,Gadget Pro,182,31850
2026-08-06,Supplier Alpha,Standard Widget,121,6050
2026-08-06,Vendor 10,Gadget Lite,133,7315
2026-08-06,Supplier Alpha,Gadget Pro,171,29925
2026-08-06,Supplier Beta,Gadget Pro,196,34300
2026-08-06,Supplier Alpha,Gadget Pro,192,33600
2026-08-07,Vendor 14,Low Stock Item,77,10010
2026-08-07,Supplier Alpha,Gadget Lite,116,6380
2026-08-07,Supplier Alpha,Low Stock Item,140,18200
2026-08-07,Supplier Beta,Low Stock Item,38,4940
2026-08-07,Supplier Beta,Declining Product,194,12610
2026-08-07,Supplier Alpha,Declining Product,166,10790
2026-08-08,Supplier Alpha,Gadget Pro,137,23975
2026-08-08,Vendor 11,Premium Widget,192,23040
2026-08-08,Vendor 13,Gadget Pro,128,22400
2026-08-08,Supplier Beta,Budget Widget,136,2448
2026-08-08,Vendor 13,Budget Widget,157,2826
2026-08-08,Vendor 6,Gadget Lite,172,9460
2026-08-08,Supplier Beta,Low Stock Item,138,17940
2026-08-08,Supplier Beta,Standard Widget,197,9850
2026-08-09,Vendor 11,Low Stock Item,24,3120
2026-08-09,Supplier Beta,Budget Widget,28,504
2026-08-09,Vendor 7,Low Stock Item,54,7020
2026-08-09,Supplier Alpha,Gadget Lite,141,7755
2026-08-09,Supplier Alpha,Low Stock Item,81,10530
2026-08-09,Supplier Beta,Gadget Pro,43,7525
2026-08-09,Vendor 12,Standard Widget,131,6550
2026-08-10,Supplier Beta,Gadget Lite,106,5830
2026-08-10,Supplier Beta,Standard Widget,185,9250
2026-08-10,Vendor 6,Budget Widget,123,2214
2026-08-10,Supplier Beta,Standard Widget,40,2000
2026-08-10,Vendor 4,Standard Widget,37,1850
2026-08-11,Supplier Beta,Low Stock Item,132,17160
2026-08-11,Supplier Alpha,Gadget Lite,180,9900
2026-08-11,Supplier Alpha,Standard Widget,193,9650
2026-08-12,Supplier Beta,Budget Widget,147,2646
2026-08-12,Supplier Alpha,Premium Widget,151,18120
2026-08-12,Supplier Alpha,Declining Product,195,12675
2026-08-13,Supplier Alpha,Gadget Lite,197,10835
2026-08-13,Supplier Alpha,Declining Product,52,3380
2026-08-14,Supplier Alpha,Budget Widget,92,1656
2026-08-14,Supplier Beta,Budget Widget,179,3222
2026-08-14,Supplier Beta,Budget Widget,136,2448
2026-08-15,Supplier Beta,Low Stock Item,121,15730
2026-08-15,Supplier Alpha,Gadget Pro,132,23100
2026-08-16,Vendor 5,Low Stock Item,155,20150
2026-08-16,Supplier Beta,Standard Widget,85,4250
2026-08-16,Supplier Beta,Gadget Lite,32,1760
2026-08-16,Vendor 5,Premium Widget,126,15120
2026-08-16,Vendor 11,Gadget Pro,197,34475
2026-08-16,Vendor 8,Standard Widget,88,4400
2026-08-16,Supplier Beta,Standard Widget,163,8150
2026-08-16,Supplier Alpha,Premium Widget,83,9960
2026-08-17,Vendor 6,Gadget Lite,121,6655
2026-08-17,Supplier Alpha,Premium Widget,193,23160
2026-08-17,Vendor 2,Low Stock Item,139,18070
2026-08-18,Supplier Alpha,Budget Widget,105,1890
2026-08-18,Vendor 10,Gadget Lite,173,9515
2026-08-19,Vendor 1,Declining Product,40,2600
2026-08-19,Vendor 14,Low Stock Item,160,20800
2026-08-19,Vendor 1,Standard Widget,64,3200
2026-08-20,Supplier Beta,Premium Widget,100,12000
2026-08-20,Supplier Beta,Declining Product,47,3055
2026-08-21,Vendor 2,Declining Product,80,5200
2026-08-21,Supplier Beta,Gadget Pro,85,14875
2026-08-21,Vendor 5,Declining Product,108,7020
2026-08-21,Supplier Beta,Premium Widget,66,7920
2026-08-21,Vendor 14,Standard Widget,107,5350
2026-08-21,Supplier Alpha,Declining Product,97,6305
2026-08-21,Vendor 2,Budget Widget,187,3366
2026-08-21,Supplier Alpha,Premium Widget,196,23520
2026-08-22,Supplier Alpha,Low Stock Item,125,16250
2026-08-22,Vendor 9,Declining Product,105,6825
2026-08-22,Supplier Beta,Budget Widget,87,1566
2026-08-23,Supplier Beta,Gadget Lite,186,10230
2026-08-23,Supplier Alpha,Declining Product,113,7345
2026-08-23,Supplier Beta,Declining Product,25,1625
2026-08-24,Supplier Beta,Low Stock Item,129,16770
2026-08-24,Vendor 11,Gadget Lite,193,10615
2026-08-24,Supplier Alpha,Gadget Lite,73,4015
2026-08-24,Supplier Beta,Gadget Lite,107,5885
2026-08-24,Supplier Beta,Low Stock Item,130,16900
2026-08-24,Supplier Alpha,Gadget Pro,100,17500
2026-08-24,Supplier Alpha,Low Stock Item,24,3120
2026-08-24,Supplier Alpha,Budget Widget,39,702
2026-08-25,Supplier Alpha,Declining Product,73,4745
2026-08-25,Supplier Beta,Gadget Pro,123,21525
2026-08-25,Supplier Alpha,Standard Widget,136,6800
2026-08-25,Supplier Alpha,Budget Widget,178,3204
2026-08-25,Supplier Alpha,Gadget Lite,64,3520
2026-08-25,Supplier Beta,Gadget Lite,80,4400
2026-08-25,Vendor 5,Gadget Lite,140,7700
2026-08-25,Vendor 12,Low Stock Item,163,21190
2026-08-26,Supplier Alpha,Gadget Pro,24,4200
2026-08-26,Supplier Alpha,Declining Product,74,4810
2026-08-27,Supplier Alpha,Gadget Pro,82,14350
2026-08-27,Vendor 13,Declining Product,52,3380
2026-08-27,Supplier Alpha,Standard Widget,161,8050
2026-08-28,Supplier Alpha,Premium Widget,197,23640
2026-08-28,Vendor 10,Standard Widget,95,4750
2026-08-28,Vendor 12,Premium Widget,55,6600
2026-08-28,Supplier Alpha,Premium Widget,26,3120
2026-08-28,Supplier Alpha,Gadget Lite,156,8580
2026-08-29,Supplier Alpha,Budget Widget,113,2034
2026-08-29,Supplier Beta,Low Stock Item,42,5460
2026-08-30,Supplier Alpha,Gadget Pro,166,29050
2026-08-30,Supplier Beta,Low Stock Item,41,5330
2026-08-30,Supplier Alpha,Low Stock Item,58,7540
2026-08-30,Supplier Beta,Low Stock Item,51,6630
2026-08-30,Supplier Alpha,Budget Widget,72,1296
2026-08-31,Vendor 4,Budget Widget,130,2340
2026-08-31,Supplier Beta,Gadget Pro,55,9625
