RETAIL STORE DAILY SALES,,,,,,,,
Store #12345,,,,,,,,
Generated: 2026-07-01,,,,,,,,
,,,,,,,,
Date,Receipt,Product Name,Category,Qty,Price,Total Amount,Cost,Payment
2026-03-23,R185414,Canned Soup,Canned Goods,10,7.75,77.5,59.33,CASH
03/23/26,R971846,Milk,Dairy,15,6.16,92.4,72.73,nan
23/03/2026,R431299,Canned Soup,Canned Goods,2,3.45,6.9,3.95 TRY,card
2026-03-23,R115947,Bread,Bakery,14,5.39,75.46,52.67,n/a
23/03/2026,R774087,Milk,Dairy,12,7.28,"87,36",69.48,Cash
23 Mar 2026,R637573,Frozen Pizza,Frozen,8,4.45,35.6,26.72,Mobile
23/03/26,R917356,Frozen Pizza,Frozen,12,5.04,60.48,44.64,NONE
"Mar 23, 2026",R710262,Milk,Dairy,7,9.66,67.62,46.51,CASH
23 Mar 2026,R665708,Milk,Dairy,20,5.64,112.8,77.28,Mobile
23.03.2026,R947549,Milk,Dairy,19,8.64,164.16,£116.94,Cash
2026-03-23,R891939,Chips,Snacks,2,5.26,10.52,"5,89",CASH
23/03/2026,R542479,Canned Soup,Canned Goods,17,6.66,"113,22",73.35,
23/03/26,R269042,Milk,Dairy,8,4.67,37.36,20.5%,CASH
NA,R764557,Frozen Pizza,Frozen,15,8.96,134.4,"74,11",Card
23/03/26,R483899,Canned Soup,Canned Goods,9,4.52,40.68,"26,90",Mobile
03/23/2026,R204058,Milk,Dairy,14,4.54,63.56,"49,37",card
2026-03-23,R427776,Soda,Beverages,14,9.58,134.12,,Mobile
2026-03-23,R470232,Milk,Dairy,14,6.89,96.46,57.68,Card
03/23/26,R723429,Soda,Beverages,14,8.79,123.06 USD,80.6,CASH
2026-03-23,R790970,Frozen Pizza,Frozen,20,9.14,182.8,102.95,Card
03/23/26,R970389,Chips,Snacks,14,6.7,93.80,50.95,CASH
23-03-2026,R364370,bread,Bakery,14,8.37,117.18,"82,68",CASH
23.03.2026,R934443,Chips,Snacks,6,4.17,25.02,19.16,Mobile
23.03.2026,R433936,Bread,Bakery,11,7.08,77.88,46.41,CASH
2026/03/23,R307474,Soda,Beverages,7,3.0,n/a,12.58 TRY,CASH
23/03/26,R708840,Chips,Snacks,5,7.67,38.35,$21.19,Cash
23/03/26,R588090,Frozen Pizza,Frozen,11,4.29,47.19,35.75,null
23/03/26,R768967,Canned Soup,Canned Goods,20,6.49,129.8,100.14,Cash
23.03.2026,R230834,Soda,Beverages,5,7.89,39.45,25.06,Mobile
23-03-2026,R444582,  Cereal  ,Breakfast,9,8.18,73.6%,50.37,Cash
23/03/26,R760503,Milk,Dairy,13,5.73,74.49,37.89,CASH
23.03.2026,R432643,Canned Soup,Canned Goods,6,8.91,53.46,37.26,
"Mar 23, 2026",R605222,Milk,Dairy,10,5.78,57.8,33.59,CASH
23/03/26,R544384,Soda,Beverages,2,2.28,4.56,"3,12",Card
23/03/2026,R356123,Soda,Beverages,6,1.91,11.46,7.65 USD,Cash
23-03-2026,R863549,Soda,Beverages,11,£8.21,90.31,59.27,
"Mar 23, 2026",R330123,Bread,Bakery,9,3.57,32.1%,€23.23,nan
23 Mar 2026,R305740,Chips ,Snacks,20,4.47 TRY,89.4,45.41,nan
23/03/2026,R350968,Frozen Pizza,Frozen,11,9.57,105.27,84.21,-
03/23/2026,R474763,Canned Soup,Canned Goods,18,4.24,76.32,€53.43,Card
23/03/2026,R679146,Chips,Snacks,2,4.65,9.3,7.1%,Cash
23.03.2026,R230840,Soda ,Beverages,10,5.8%,58.3,null,Card
2026-03-23,R551655,Milk,Dairy,15,8.1%,121.2,62.54,Mobile
24/03/26,R897443,SODA,Beverages,10,7.69,76.90,50.28 TRY,Cash
24.03.2026,R198625,Canned Soup,Canned Goods,4,3.62,14.48,£9.93,CASH
24.03.2026,R491531,Cereal,Breakfast,9,6.09,54.81,34.20 TRY,
03/24/26,R919709,Bread,Bakery,1,6.86,"6,86",5.22,
03/24/2026,R730281,Frozen  Pizza,Frozen,18,1.59,,16.93,Cash
24.03.2026,R636346,Frozen Pizza,Frozen,17,1.34,N/A,16.03,NA
03/24/26,R937590,Chips,Snacks,16,8.51,136.16,76.42,
2026/03/24,R981242,Soda,Beverages,14,5.95,83.3,n/a,CASH
2026-03-24,R894134,Chips,Snacks,5,2.76,13.80 TRY,"8,21",CASH
24.03.2026,R179255,Canned Soup ,Canned Goods,7,£9.24,64.68,$39.82,none
03/24/2026,R835057,Soda,Beverages,18,1.1%,19.26,14.57,card
24 Mar 2026,R275943,Canned Soup,Canned Goods,9,1.7,15.3,10.08,Card
"Mar 24, 2026",R566716,Milk,Dairy,14,4.18,58.52,44.36,Card
24.03.2026,R423041,Soda,Beverages,6,1.75,10.5,7.13,Mobile
03/24/2026,R932876,Soda,Beverages,2,7.28,14.56,9.4,Card
24/03/26,R400007,Canned Soup,Canned Goods,16,7.45,119.2,74.93,Card
24-03-2026,R125425,Bread,Bakery,7,5.77,null,23.99,NA
"Mar 24, 2026",R371122,Cereal,Breakfast,16,2.21,£35.36,27.77,Cash
03/24/2026,R259645,Bread,Bakery,2,4.80,9.60 EUR,NA,Card
"Mar 24, 2026",R703399,Cereal,Breakfast,6,6.86,41.16,"24,84",Mobile
NONE,R507576,Soda,Beverages,16,6.71,107.36,54.6,N/A
24 Mar 2026,R582232,Soda,Beverages,20,8.82,176.4,121.33,Cash
2026/03/24,R867052,Soda,Beverages,15,9.30,"139,50",89.31,Mobile
24.03.2026,R630227,  Chips  ,Snacks,8,2.39,19.12,13.5,Card
"Mar 24, 2026",R472209,Bread,Bakery,5,1.34,6.7%,4.15,Card
2026/03/24,R918370,Frozen Pizza,Frozen,5,9.42,47.1%,35.76,
24 Mar 2026,R628826,Bread,Bakery,1,£4.79,"4,79",2.91,Cash
--,R195132,Bread,Bakery,6,8.0%,47.7%,"25,52",Card
24 Mar 2026,R512543,Cereal,Breakfast,10,8.73,87.3,58.44,NULL
24/03/26,R164422,  Bread  ,Bakery,9,€4.05,36.45,27.73,Cash
2026-03-24,R717011,Cereal,Breakfast,20,3.36,67.2,48.69,
2026/03/24,R696082,Cereal,Breakfast,14,4.8,67.2,35.96,Mobile
03/24/26,R244995,Soda,Beverages,6,$9.37,56.22,36.92,Cash
03/24/26,R281560,Milk,Dairy,11,5.01,55.11,35.58,Cash
2026-03-24,R720654,Bread,Bakery,19,4.86,92.34,NULL,Cash
"Mar 24, 2026",R871427,Bread,Bakery,11,9.51,104.61,83.24,Card
24.03.2026,R295948,Milk,Dairy,8,1.74,13.92,10.09,Mobile
24.03.2026,R734701,Chips,Snacks,17,5.49,93.3%,67.0%,Card
--,R943369,Milk,Dairy,18,7.44,133.92,105.54,Card
n/a,R528204,Milk,Dairy,4,6.0%,24.1%,13.29,Cash
24/03/2026,R104495,Soda,Beverages,5,6.56,32.8,19.08,CASH
03/24/26,R515201,Frozen Pizza,Frozen,12,5.65,67.8,43.44,
"Mar 24, 2026",R764520,Canned Soup,Canned Goods,15,9.04,135.6,92.63,
03/24/2026,R138683,Chips,Snacks,15,9.61,144.15,106.17,CASH
nan,R128253,Soda,Beverages,19,2.12,40.28,30.4%,CASH
03/24/2026,R672452,Bread,Bakery,17,8.44,N/A,80.48,Card
03/24/2026,R347334,Milk,Dairy,18,6.7,120.6%,84.43,Cash
03/24/2026,R408922,Bread,Bakery,5,3.62 USD,₺18.10,12.65,CASH
03/24/26,R830098,Bread,Bakery,11,"8,75",96.25,68.9,
24-03-2026,R500072,Soda,Beverages,12,6.44,77.28,41.57,CASH
24/03/2026,R966650,Milk,Dairy,3,6.15,$18.45,nan,none
24.03.2026,R607722,Cereal,Breakfast,5,2.41,12.05,8.3,CASH
24/03/26,R530019,Milk,Dairy,14,9.72,136.08,103.22,Card
24.03.2026,R944379,Bread,Bakery,18,7.65,137.70,94.25,Cash
N/A,R731240,Milk ,Dairy,3,3.57,10.71,7.35,Cash
24/03/26,R678715,Soda,Beverages,10,1.49,14.9,11.43,none
24/03/26,R789044,Milk,Dairy,7,7.01,₺49.07,NULL,
2026/03/24,R498701,Milk,Dairy,14,1.78,24.92,19.83,CASH
24/03/26,R373014,Chips,Snacks,4,2.75,11.0,8.73,Card
2026/03/24,R107380,Soda,Beverages,18,6.79,122.22,72.73,
"Mar 24, 2026",R523990,Milk,Dairy,1,7.75,7.75,5.99,Mobile
24.03.2026,R426711,Soda,Beverages,13,3.04,39.52,29.05,
03/24/26,R425701,Frozen Pizza,Frozen,1,£7.25,7.25,4.42,Card
24-03-2026,R351190,Frozen Pizza,Frozen,7,6.18,43.26,£21.76,Card
"Mar 24, 2026",R153625,Cereal,Breakfast,3,6.85,20.55,11.56,card
2026/03/24,R418607,Cereal,Breakfast,20,6.55 TRY,€131.00,87.34,Mobile
24/03/2026,R473652,Frozen Pizza,Frozen,8,1.03,8.24,5.4,Card
2026/03/24,R733674,CHIPS,Snacks,6,4.88,29.28,21.67,card
03/24/26,R329163,Frozen Pizza,Frozen,15,6.1,£91.50,59.32,CASH
24/03/26,R486188,canned soup,Canned Goods,18,3.98,71.64 EUR,€43.36,Mobile
2026-03-24,R377600,FROZEN PIZZA,Frozen,4,6.29,25.16,15.09,Cash
25.03.2026,R398961,Soda,Beverages,17,1.9,$32.30,20.7%,NULL
25/03/26,R157124,Canned Soup,Canned Goods,4,3.57,14.28,8.91,Cash
2026-03-25,R303227,Soda,Beverages,14,4.16,58.24 USD,31.41,card
25-03-2026,R214737,Soda,Beverages,4,1.63,6.52,4.92,none
25 Mar 2026,R946048,Bread,Bakery,12,7.4%,89.16,62.65,CASH
2026/03/25,R746180,Chips,Snacks,19,4.74,90.06,60.18,card
"Mar 25, 2026",R677072,Canned Soup,Canned Goods,5,"3,25",16.25,11.29,Cash
25 Mar 2026,R331745,  Milk  ,Dairy,16,2.01,32.2%,16.35,Card
25/03/26,R792399,Chips,Snacks,20,€9.07,181.4,145.05,Mobile
25/03/2026,R389990,Canned Soup,Canned Goods,13,7.68,99.84,64.22,card
25/03/2026,R962494,Canned Soup,Canned Goods,6,3.33,19.98,13.2,CASH
2026/03/25,R824565,Frozen Pizza,Frozen,16,6.51,104.16,81.40,none
"Mar 25, 2026",R825701,CEREAL,Breakfast,11,1.64,nan,NULL,CASH
25-03-2026,R429872,  Frozen Pizza  ,Frozen,5,9.41,47.05,27.77,card
25 Mar 2026,R946671,Cereal,Breakfast,12,1.04,12.48,7.22,card
2026/03/25,R211566,Canned Soup,Canned Goods,14,1.57,21.98 EUR,null,none
25.03.2026,R520160,Cereal,Breakfast,14,5.3,74.20 EUR,37.22,Mobile
25/03/26,R993615,Cereal,Breakfast,7,9.32,65.24,$48.82,none
2026/03/25,R175810,Canned Soup ,Canned Goods,2,£4.67,9.34,5.6%,
25/03/26,R458069,Frozen Pizza,Frozen,19,3.73,70.87,38.62 EUR,card
25/03/2026,R345507,Soda,Beverages,1,8.95,"8,95",6.54,CASH
25.03.2026,R522243,SODA,Beverages,9,4.03,36.27,28.77,CASH
25.03.2026,R946377,frozen pizza,Frozen,11,4.12,45.32,26.96,NULL
25/03/26,R534681,Chips,Snacks,2,2.72,5.44,2.88,Mobile
25/03/26,R958589,Bread,Bakery,11,6.79,74.69 EUR,43.52,Mobile
25-03-2026,R144326,Bread,Bakery,9,1.52,13.68,9.27,CASH
03/25/2026,R327841,Frozen Pizza,Frozen,4,3.71,14.84,7.79,Mobile
2026-03-25,R367100,Chips,Snacks,13,1.75,22.75,11.89,CASH
25 Mar 2026,R467484,Canned Soup,Canned Goods,13,1.64,21.32 TRY,11.32,Cash
2026/03/25,R475506,Soda,Beverages,13,1.73,22.49,15.46,
25-03-2026,R397667,Cereal,Breakfast,17,8.76,148.92,79.89,Card
2026-03-25,R520495,Milk,Dairy,3,1.65,4.95,2.85,--
25.03.2026,R361950,Cereal,Breakfast,20,4.47,89.4,50.14,Cash
none,R912920,Chips,Snacks,2,7.67,,N/A,Card
25.03.2026,R903164,Milk ,Dairy,12,5.33,63.96,50.39,Cash
2026-03-25,R705573,Chips,Snacks,6,4.68 EUR,28.08,19.6%,
03/25/2026,R380154,Soda,Beverages,17,4.46,75.82,43.0%,card
"Mar 25, 2026",R537913,Bread,Bakery,8,8.68,69.44,53.02,card
nan,R482213,Frozen Pizza,Frozen,4,7.65,30.6,15.62,Mobile
25/03/2026,R135258,Chips,Snacks,13,5.13,66.69,52.92,CASH
25/03/2026,R377797,Milk,Dairy,17,4.59,78.03,44.9,Mobile
25 Mar 2026,R742543,Cereal,Breakfast,17,5.63,95.71,56.62,none
2026/03/26,R217140,Canned Soup,Canned Goods,4,4.13,"16,52",11.58,Mobile
"Mar 26, 2026",R516453,Milk,Dairy,8,9.39,"75,12",54.05,NA
26 Mar 2026,R797912,Milk,Dairy,14,5.53,77.42,44.46,Mobile
"Mar 26, 2026",R179293,Soda,Beverages,14,6.13,85.82,47.08,Card
"Mar 26, 2026",R774967,Canned  Soup,Canned Goods,8,3.25,26.0,17.7%,
2026-03-26,R765093,Frozen Pizza,Frozen,13,3.05,39.65,23.44,CASH
26 Mar 2026,R672588,Soda,Beverages,20,7.04,"140,80",97.7,Card
2026-03-26,R946991,Soda,Beverages,16,9.46,151.36,102.36,card
26-03-2026,R678610,Chips,Snacks,11,2.22,"24,42",16.25,Cash
"Mar 26, 2026",R588427,Canned Soup,Canned Goods,11,9.3,102.3,56.98,Mobile
26.03.2026,R517470,Milk,Dairy,10,4.21,"42,10",21.68,--
"Mar 26, 2026",R151223,Chips,Snacks,13,5.18,67.34,47.81,Cash
26-03-2026,R767203,Soda,Beverages,14,8.16,"114,24",64.26,Mobile
2026-03-26,R958735,Frozen Pizza,Frozen,2,1.99,3.98,2.68,
2026-03-26,R729895,Milk,Dairy,16,"1,17",18.72,13.67 EUR,
03/26/2026,R107141,Soda,Beverages,19,1.3,24.70,13.66,CASH
26/03/26,R934240,Chips,Snacks,20,1.94,38.8,29.82,Card
"Mar 26, 2026",R781804,Bread,Bakery,13,1.76,22.88,17.75,CASH
26.03.2026,R275331,Cereal,Breakfast,18,7.66,137.88,103.89,--
2026/03/26,R474419,Canned Soup,Canned Goods,2,"7,58",15.16,9.57,n/a
N/A,R543878,Frozen Pizza,Frozen,19,2.16,41.04,null,card
"Mar 26, 2026",R787009,Canned Soup,Canned Goods,15,8.88,"133,20",80.39,NONE
26/03/2026,R957320,Canned Soup,Canned Goods,18,€5.95,107.10,81.88,card
26 Mar 2026,R718496,Frozen Pizza,Frozen,19,7.56,143.64,113.52,CASH
03/26/26,R334535,Chips,Snacks,14,2.91,40.74,€23.98,
26-03-2026,R356055,CANNED SOUP,Canned Goods,16,1.33,21.28,16.65,Card
26-03-2026,R972026,Chips,Snacks,18,1.52,27.36 TRY,20.9,Card
2026/03/26,R146023,Milk,Dairy,13,3.92,50.96,28.87,n/a
26 Mar 2026,R772567,Chips,Snacks,17,4.71,--,"59,04",Mobile
"Mar 26, 2026",R384737,canned soup,Canned Goods,5,3.41,17.05,9.93,card
03/26/26,R825304,Milk,Dairy,17,8.42,143.14,75.31,Mobile
2026/03/26,R195241,Chips,Snacks,11,9.38,103.18,76.98,--
26 Mar 2026,R366103,Chips,Snacks,10,6.19,61.9,33.8%,Mobile
"Mar 26, 2026",R102488,Cereal,Breakfast,11,1.63,17.93,₺12.09,Cash
26/03/26,R351175,Cereal,Breakfast,4,7.74,30.96,22.69,Card
26.03.2026,R954767,Milk,Dairy,16,7.66,122.56,69.05,Cash
"Mar 26, 2026",R680366,Cereal,Breakfast,17,2.58,43.86,₺24.62,
2026/03/26,R938539,Milk,Dairy,9,5.58,50.22,26.17,Cash
26 Mar 2026,R999373,Frozen Pizza,Frozen,19,5.08 EUR,96.52,"49,80",
"Mar 26, 2026",R633982,Bread,Bakery,4,9.63,38.52,22.1%,none
26/03/26,R623747,Canned Soup,Canned Goods,3,4.79,14.37 EUR,11.04,Card
26.03.2026,R253392,Chips,Snacks,4,3.75,15.0,8.1%,
27/03/26,R301944,Bread,Bakery,6,3.41,20.5%,11.89,
27-03-2026,R672055,Milk,Dairy,19,2.66,50.54,29.88,card
"Mar 27, 2026",R370493,Milk,Dairy,17,5.78,98.26,62.31,Card
2026-03-27,R584958,Canned Soup,Canned Goods,11,8.95,98.45,50.02 TRY,Cash
2026-03-27,R358446,Canned Soup,Canned Goods,17,5.51,93.67,"61,57",Card
27.03.2026,R965373,Canned Soup,Canned Goods,9,4.49,₺40.41,29.55,Card
2026-03-27,R752238,  Cereal  ,Breakfast,1,4.91,"4,91",3.77,card
2026-03-27,R687690,Bread,Bakery,5,₺2.53,12.65,6.72,NULL
2026/03/27,R332561,Milk,Dairy,20,€6.77,135.4,95.86,card
27-03-2026,R744213,Milk ,Dairy,16,6.89,110.24 TRY,79.69,Mobile
27-03-2026,R681305,Cereal,Breakfast,11,9.03,99.33,53.77 TRY,
27.03.2026,R920740,Frozen Pizza,Frozen,2,7.94,15.88,12.19,NA
27/03/26,R880986,  Cereal  ,Breakfast,9,7.62,68.58,49.74,none
03/27/2026,R695301,Canned Soup,Canned Goods,1,2.4,2.4,1.23,card
27-03-2026,R700170,Canned Soup,Canned Goods,7,1.6%,11.13 TRY,5.78,card
27-03-2026,R268268,Canned Soup,Canned Goods,15,1.89,28.35,21.54,Card
27-03-2026,R527146,Soda,Beverages,10,1.34,₺13.40,9.99,CASH
27 Mar 2026,R336762,Soda,Beverages,4,8.04,32.16 TRY,23.19,Mobile
2026/03/27,R818967,Canned Soup,Canned Goods,10,4.99,49.9,26.61,
27/03/26,R699430,Bread,Bakery,9,5.37,48.33,$36.76,Cash
03/27/2026,R640776,Chips,Snacks,19,3.91,74.29,56.95,card
03/27/26,R272807,Chips,Snacks,7,7.04,49.28,"37,85",Card
03/27/26,R866430,Cereal,Breakfast,16,4.46,nan,48.7%,
27/03/2026,R936353,frozen pizza,Frozen,4,3.38,13.52,9.31,Cash
27.03.2026,R724861,chips,Snacks,10,3.65 EUR,36.5,22.69,CASH
27-03-2026,R332401,Frozen Pizza,Frozen,15,3.83,57.45,28.77,Cash
27/03/26,R412313,Canned Soup,Canned Goods,3,2.7,8.1,4.1%,Card
"Mar 27, 2026",R295516,Cereal,Breakfast,19,5.05,95.95,52.51,Card
27.03.2026,R558511,Chips,Snacks,2,7.94,15.88,10.77,CASH
03/27/26,R606787,Canned Soup,Canned Goods,10,7.44,74.4,37.54,card
27.03.2026,R409133,Milk,Dairy,20,"9,48",189.6,103.26,NONE
27/03/26,R528657,Milk,Dairy,10,₺1.10,"11,00",7.77,card
"Mar 27, 2026",R384214,Cereal,Breakfast,12,9.32,"111,84",80.41,NULL
27/03/26,R995713,Milk,Dairy,16,3.33,53.28,35.11,Card
2026-03-27,R679611,Milk,Dairy,14,2.6%,36.96,22.61,card
27-03-2026,R957489,CANNED SOUP,Canned Goods,17,3.12,53.04,33.34,card
27 Mar 2026,R494297,Soda,Beverages,6,4.79,28.74,17.1,Card
2026-03-27,R118772,Milk,Dairy,13,"9,19",119.47,65.77,Card
"Mar 27, 2026",R981257,Soda,Beverages,16,4.8%,76.48,47.41,
27 Mar 2026,R189567,Milk,Dairy,2,9.41,18.82,"12,63",CASH
27/03/26,R162272,Milk,Dairy,12,4.37,52.44,31.29,CASH
27/03/26,R546458,Milk,Dairy,4,8.02,32.08,16.22,Card
03/27/2026,R530818,Milk,Dairy,18,5.0,90.00,60.49,NA
27/03/26,R814729,Chips,Snacks,9,4.3,38.7,20.02,Cash
"Mar 27, 2026",R955428,Soda,Beverages,9,1.9%,17.3%,11.15,
27 Mar 2026,R729709,Milk,Dairy,13,2.27,29.51,19.37,Mobile
2026/03/27,R723282,Canned Soup,Canned Goods,10,3.21,32.1,19.83,CASH
2026-03-27,R783382,Soda,Beverages,20,4.48,89.6,56.93,Card
28.03.2026,R971592,Chips,Snacks,5,8.84,44.2,28.44,card
2026-03-28,R106672,Frozen Pizza,Frozen,3,"2,52",7.56,4.88,card
28/03/26,R671424,Milk,Dairy,6,4.93,29.58,15.18,Cash
03/28/2026,R797256,Milk,Dairy,2,4.5%,"8,90",6.75,Cash
03/28/26,R883419,Frozen Pizza,Frozen,18,4.89,"88,02",52.34,card
2026-03-28,R407031,Canned Soup,Canned Goods,4,9.91,39.64,30.63,nan
28.03.2026,R310545,Cereal,Breakfast,14,2.97,41.58,21.33,CASH
"Mar 28, 2026",R615918,Milk ,Dairy,1,5.18,-,"3,28",
03/28/2026,R688201,Canned Soup,Canned Goods,18,$3.51,"63,18",46.38,Card
28.03.2026,R289751,Frozen Pizza,Frozen,18,2.67,48.06,27.92,Card
"Mar 28, 2026",R326106,Frozen Pizza,Frozen,18,4.23,76.14,53.71,card
28/03/2026,R282781,Canned Soup,Canned Goods,18,3.31,59.58,30.34,Card
2026-03-28,R221303,Canned Soup,Canned Goods,12,4.36,52.32,28.85,CASH
"Mar 28, 2026",R671759,Bread,Bakery,8,7.69,61.52,49.12,Mobile
28-03-2026,R432177,Milk,Dairy,1,5.1,5.1%,2.65,CASH
"Mar 28, 2026",R566996,Frozen Pizza,Frozen,20,5.06,101.2,80.47,CASH
28 Mar 2026,R482517,Frozen Pizza,Frozen,11,5.88,64.68,46.05,card
28/03/2026,R641103,Canned Soup,Canned Goods,5,7.74,38.70,"26,70",CASH
2026/03/28,R766023,Soda,Beverages,7,7.73,54.11,34.72,Card
28/03/26,R628730,Cereal,Breakfast,11,6.84,75.2%,43.75,
28/03/2026,R717693,Canned Soup,Canned Goods,13,4.09,53.17,27.61,
NONE,R129890,Frozen Pizza,Frozen,8,6.67,53.36,nan,CASH
03/28/2026,R608017,Bread,Bakery,17,4.09,69.53,36.49,Cash
03/28/2026,R916651,Chips,Snacks,19,9.05,171.95,"129,55",card
03/28/2026,R209883,Chips,Snacks,15,6.44,$96.60,68.59,
28-03-2026,R754196,Canned Soup,Canned Goods,3,7.07,21.21,12.48,none
03/28/26,R247286,Milk,Dairy,6,3.22,19.32,--,null
28.03.2026,R282631,SODA,Beverages,15,7.96,119.40,78.55,card
03/28/2026,R551765,Soda,Beverages,9,₺7.63,68.67,"35,08",CASH
03/28/26,R508803,CEREAL,Breakfast,3,7.08,21.24,16.61,Mobile
28/03/26,R774937,Cereal,Breakfast,10,1.07,10.7,7.14,card
03/28/26,R560653,Frozen Pizza ,Frozen,9,1.46,13.14,8.5%,Cash
NONE,R993583,  Soda  ,Beverages,8,8.12,64.96 USD,47.08,CASH
28.03.2026,R931362,Chips,Snacks,13,1.71,22.23,"17,04",
28 Mar 2026,R405330,Bread,Bakery,17,3.88,"65,96",₺35.29,Card
03/28/2026,R915857,Canned Soup,Canned Goods,9,6.79,61.11,30.6%,NA
2026/03/28,R117956,Bread,Bakery,11,7.07 USD,77.77,NULL,
28-03-2026,R188829,Bread,Bakery,18,9.01,162.18,125.91,
NA,R684147,Soda,Beverages,11,1.13,12.43,£6.64,--
28 Mar 2026,R254303,Chips,Snacks,4,6.48,25.92,17.94,Mobile
"Mar 28, 2026",R262775,Frozen Pizza,Frozen,17,1.7,28.90,20.96,Cash
NONE,R815133,Soda,Beverages,20,4.3%,€87.00,"51,98",Mobile
03/28/26,R252386,Cereal,Breakfast,9,9.18,82.62,53.33,Mobile
28/03/2026,R273892,  Bread  ,Bakery,13,8.22,106.86,84.17,Cash
28 Mar 2026,R105232,Canned Soup,Canned Goods,8,8.39,67.1%,37.89,Cash
2026/03/28,R501573,Frozen  Pizza,Frozen,2,5.26,10.52,6.15,Mobile
N/A,R832941,Milk,Dairy,3,$2.71,8.13,4.89,card
03/28/2026,R485892,Milk ,Dairy,3,3.13,9.39,5.3%,Card
28-03-2026,R333874,Milk,Dairy,18,4.9,88.2,€64.15,Card
2026/03/28,R122491,Bread,Bakery,11,2.73,30.03,20.09,card
2026-03-28,R760538,Milk,Dairy,16,2.81,44.96,33.38,
03/28/26,R490429,Cereal,Breakfast,7,8.79,61.53,33.96,CASH
2026-03-28,R290135,Cereal,Breakfast,10,9.41,94.1,65.54,Cash
28-03-2026,R132941,Milk,Dairy,9,6.15,55.35,38.28,Card
28 Mar 2026,R966042,Bread,Bakery,6,9.52,57.12,41.11,Card
28/03/26,R292111,Bread,Bakery,5,2.27,11.35,£8.51,CASH
28.03.2026,R623712,Milk,Dairy,18,8.04,--,"79,52",--
03/28/2026,R645571,Soda,Beverages,13,3.68,47.84,26.08,Cash
28/03/2026,R242969,Soda,Beverages,20,6.66,133.20,82.33,card
2026-03-28,R615037,Frozen Pizza,Frozen,15,6.16,"92,40",68.44,Cash
2026/03/28,R432123,Bread,Bakery,19,9.57,181.83,119.55,CASH
28/03/2026,R471924,Cereal,Breakfast,16,8.4,134.40,85.06,card
28.03.2026,R686437,Milk,Dairy,19,9.4,178.6,98.9,Mobile
"Mar 28, 2026",R782695,Chips,Snacks,3,1.1,"3,30",2.12,Cash
2026-03-28,R168884,Canned Soup,Canned Goods,9,1.32,11.88,8.85,
28/03/26,R710205,Frozen Pizza,Frozen,18,2.93,52.74,"33,33",Cash
28/03/2026,R236604,BREAD,Bakery,2,4.01,8.02,4.17,Cash
28-03-2026,R178251,Milk,Dairy,16,1.72,27.52,15.63,Card
28/03/2026,R384166,Soda,Beverages,13,6.18,80.34,51.61,
28-03-2026,R420232,Chips,Snacks,15,7.62,114.3,81.7%,card
28.03.2026,R933980,Bread,Bakery,16,4.62,73.92 TRY,39.03,--
03/29/26,R186208,  Canned Soup  ,Canned Goods,16,2.96,47.36,31.58,
29/03/26,R947201,Milk,Dairy,7,7.37,51.59,33.55,Card
2026/03/29,R546685,Milk,Dairy,15,3.13,46.95 USD,25.27,none
29/03/26,R570390,Canned Soup,Canned Goods,1,5.33,₺5.33,3.6%,CASH
29-03-2026,R108141,Milk,Dairy,10,₺7.39,73.90,40.52,Mobile
29-03-2026,R556703,Bread,Bakery,1,6.75,6.75,5.29,CASH
03/29/2026,R408860,Bread,Bakery,8,7.80,$62.40,₺34.18,CASH
03/29/26,R202527,Milk,Dairy,2,₺1.02,NONE,$1.39,Cash
2026-03-29,R661698,Chips,Snacks,13,4.02,52.3%,35.46,Mobile
2026-03-29,R824063,Canned Soup,Canned Goods,5,2.38,11.90,6.79,card
2026-03-29,R495763,CHIPS,Snacks,7,3.52,24.64,15.77 EUR,CASH
29 Mar 2026,R573413,Bread,Bakery,17,8.03,136.51,109.04,card
2026/03/29,R803134,Canned Soup,Canned Goods,10,2.23,22.3,16.03,
29 Mar 2026,R620272,Bread,Bakery,10,7.63,76.3,55.12,NA
"Mar 29, 2026",R825904,Milk,Dairy,4,"4,81",19.24,12.69,Cash
29.03.2026,R470942,Milk,Dairy,8,6.23,49.84,38.6,Mobile
03/29/26,R643271,Bread,Bakery,4,4.21,16.84,11.09,nan
2026/03/29,R155739,Canned Soup,Canned Goods,17,8.68,147.56,77.08,Card
03/29/26,R592606,Canned Soup,Canned Goods,3,5.71,17.13,10.01,Mobile
29.03.2026,R128755,Cereal,Breakfast,8,£3.06,24.48,14.43,
29.03.2026,R299144,Milk,Dairy,19,3.36,€63.84,41.53,Card
"Mar 29, 2026",R689148,  Canned Soup  ,Canned Goods,13,8.63,112.19,60.64,Mobile
29 Mar 2026,R223078,Canned Soup,Canned Goods,13,8.51 USD,110.63,"74,46",Card
29/03/2026,R698410,Frozen Pizza,Frozen,11,4.76,52.36,27.2,card
29.03.2026,R848683,Soda,Beverages,8,3.37,27.0%,21.47,Mobile
29.03.2026,R364098,Canned Soup,Canned Goods,18,9.26,166.7%,93.9,Card
29.03.2026,R244613,Canned Soup,Canned Goods,11,6.95,76.45,59.22,Cash
N/A,R619613,Cereal,Breakfast,6,4.32,25.92,13.97,Card
"Mar 29, 2026",R554536,Bread,Bakery,4,4.83,19.32,13.65,Cash
03/29/2026,R510641,Frozen Pizza,Frozen,10,1.51,15.1,9.97,card
